Field,Mac Arthor,VISta,,,Field,Mac Arthor,VISta
,,,,,,,
chrom,Y,Y,,,method_methodtype,N,Y
pos,Y,Y,,,sample_affected_status,N,Y
ref,Y,Y,,,sample_age,N,Y
alt,Y,Y,,,sample_ethnicity,N,Y
start,Y,N,,,sample_familydata_numfamilies,N,Y
stop,Y,N,,,sample_familydata_numfamilieswithsegregationobserved,N,Y
strand,Y,N,,,sample_familydata_numfamilieswithvariant,N,Y
variation_type,Y,N,,,sample_familydata_segregationobserved,N,Y
variation_id,Y,Y,,,sample_sampledescription,N,Y
rcv,Y,Y,,,sample_species,N,Y
scv,Y,N,,,sample_familydata_familyhistory,N,Y
allele_id,Y,Y,,,observeddata_attribute,N,Y
symbol,Y,N,,,phenotype_trait_clinvarassertion_observedin,N,Y
hgvs_c,Y,N,,,phenotype_trait_clinvarassertion_traitset,N,Y
hgvs_p,Y,N,,,,,
molecular_consequence,Y,N,,,,,
clinical_significance,Y,N,,,,,
clinical_significance_ordered,Y,Y,,,,,
pathogenic,Y,Y,,,,,
likely_pathogenic,Y,N,,,,,
uncertain_significance,Y,N,,,,,
likely_benign,Y,N,,,,,
benign,Y,Y,,,,,
review_status,Y,Y,,,,,
review_status_ordered,Y,N,,,,,
last_evaluated,Y,N,,,,,
all_submitters,Y,Y,,,,,
submitters_ordered,Y,N,,,,,
all_traits,Y,Y,,,,,
all_pmids,Y,Y,,,,,
inheritance_modes,Y,Y,,,,,
age_of_onset,Y,Y,,,,,
prevalence,Y,Y,,,,,
disease_mechanism,Y,Y,,,,,
origin,Y,N,,,,,
xrefs,Y,N,,,,,
dates_ordered,Y,N,,,,,
conflicted,N,Y,,,NOTE: Yello part is from db2 and Mac Arthor lab. ,,
gold_stars,N,Y,,,Green part is from Zach's request.,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
